close,timestamp,exchange,expiry,high,low,open,oi,type,instrument,volume
12797.75,30/01/13 13:58,NFO,31-Jan-13,12799,12793.3,12793.3,859625,Futures,CNXBAN,2800
12802.8,30/01/13 13:59,NFO,31-Jan-13,12802.8,12795,12797.75,859625,Futures,CNXBAN,2775
12812,30/01/13 14:00,NFO,31-Jan-13,12812,12802,12802.8,859625,Futures,CNXBAN,5375
12820.1,30/01/13 14:01,NFO,31-Jan-13,12824,12812.35,12812.35,863450,Futures,CNXBAN,16600
12820,30/01/13 14:02,NFO,31-Jan-13,12824,12815,12822,863450,Futures,CNXBAN,7825
12821.9,30/01/13 14:03,NFO,31-Jan-13,12821.9,12815,12820,863450,Futures,CNXBAN,6175
12815,30/01/13 14:04,NFO,31-Jan-13,12823,12815,12821.9,867600,Futures,CNXBAN,4000
12805.1,30/01/13 14:05,NFO,31-Jan-13,12815,12805.1,12815,867600,Futures,CNXBAN,3350
12797,30/01/13 14:06,NFO,31-Jan-13,12808,12795.8,12805.1,867600,Futures,CNXBAN,3900
12796.9,30/01/13 14:07,NFO,31-Jan-13,12800,12795,12795.8,865550,Futures,CNXBAN,3825
12800,30/01/13 14:08,NFO,31-Jan-13,12803,12796.9,12796.9,865550,Futures,CNXBAN,1800
12799,30/01/13 14:09,NFO,31-Jan-13,12800,12798.1,12800,865550,Futures,CNXBAN,775
12804.5,30/01/13 14:10,NFO,31-Jan-13,12805,12799,12799,866725,Futures,CNXBAN,1125
12810,30/01/13 14:11,NFO,31-Jan-13,12814.3,12804.3,12804.5,866725,Futures,CNXBAN,3425
12806.15,30/01/13 14:12,NFO,31-Jan-13,12810,12805.2,12810,866725,Futures,CNXBAN,1600
12801.15,30/01/13 14:13,NFO,31-Jan-13,12809,12801.15,12807.25,867925,Futures,CNXBAN,825
12798.5,30/01/13 14:14,NFO,31-Jan-13,12804.65,12798.35,12801.15,867925,Futures,CNXBAN,2875
12799,30/01/13 14:15,NFO,31-Jan-13,12800,12797,12798.5,867925,Futures,CNXBAN,1550
12799,30/01/13 14:16,NFO,31-Jan-13,12800,12796.5,12799,866625,Futures,CNXBAN,1025
12796.8,30/01/13 14:17,NFO,31-Jan-13,12799,12795.5,12799,866625,Futures,CNXBAN,425
12795,30/01/13 14:18,NFO,31-Jan-13,12797.9,12789,12796.8,866625,Futures,CNXBAN,5075
12791.3,30/01/13 14:19,NFO,31-Jan-13,12795,12790,12795,866300,Futures,CNXBAN,925
12797.8,30/01/13 14:20,NFO,31-Jan-13,12797.8,12790,12792,866300,Futures,CNXBAN,1475
12797.95,30/01/13 14:21,NFO,31-Jan-13,12798,12796.05,12797.8,866300,Futures,CNXBAN,425
12799.25,30/01/13 14:22,NFO,31-Jan-13,12799.9,12797,12797.95,866625,Futures,CNXBAN,1175
12798.45,30/01/13 14:23,NFO,31-Jan-13,12799.5,12796.15,12799.25,866625,Futures,CNXBAN,1450
